Source,CH1,CH2
Second,Value,Value
+1.912000E-07,+4.720000E+00,+1.192093E-07
+1.932000E-07,+4.720000E+00,+1.192093E-07
+1.952000E-07,+4.720000E+00,+1.192093E-07
+1.972000E-07,+4.720000E+00,+1.192093E-07
+1.992000E-07,+4.640000E+00,+1.192093E-07
+2.012000E-07,+4.720000E+00,+1.192093E-07
+2.032000E-07,+4.720000E+00,+1.192093E-07
+2.052000E-07,+4.720000E+00,+1.192093E-07
+2.072000E-07,+4.720000E+00,+1.192093E-07
+2.092000E-07,+4.720000E+00,+1.192093E-07
+2.112000E-07,+4.720000E+00,+1.192093E-07
+2.132000E-07,+4.720000E+00,+1.192093E-07
+2.152000E-07,+4.720000E+00,+1.192093E-07
+2.172000E-07,+4.720000E+00,+1.192093E-07
+2.192000E-07,+4.720000E+00,+1.192093E-07
+2.212000E-07,+4.720000E+00,+1.192093E-07
+2.232000E-07,+4.720000E+00,+1.192093E-07
+2.252000E-07,+4.720000E+00,+1.192093E-07
+2.272000E-07,+4.720000E+00,+1.192093E-07
+2.292000E-07,+4.720000E+00,+1.192093E-07
+2.312000E-07,+4.640000E+00,+1.192093E-07
+2.332000E-07,+4.720000E+00,+1.192093E-07
+2.352000E-07,+4.720000E+00,+1.192093E-07
+2.372000E-07,+4.720000E+00,+1.192093E-07
+2.392000E-07,+4.640000E+00,+1.192093E-07
+2.412000E-07,+4.720000E+00,+1.192093E-07
+2.432000E-07,+4.720000E+00,+1.192093E-07
+2.452000E-07,+4.720000E+00,+1.192093E-07
+2.472000E-07,+4.720000E+00,+1.192093E-07
+2.492000E-07,+4.720000E+00,+1.192093E-07
+2.512000E-07,+4.720000E+00,+1.192093E-07
+2.532000E-07,+4.720000E+00,+1.192093E-07
+2.552000E-07,+4.720000E+00,+1.192093E-07
+2.572000E-07,+4.720000E+00,+1.192093E-07
+2.592000E-07,+4.720000E+00,+1.192093E-07
+2.612000E-07,+4.720000E+00,+1.192093E-07
+2.632000E-07,+4.720000E+00,+1.192093E-07
+2.652000E-07,+4.720000E+00,+1.192093E-07
+2.672000E-07,+4.720000E+00,+1.192093E-07
+2.692000E-07,+4.720000E+00,+1.192093E-07
+2.712000E-07,+4.720000E+00,+1.192093E-07
+2.732000E-07,+4.720000E+00,+1.192093E-07
+2.752000E-07,+4.720000E+00,+1.192093E-07
+2.772000E-07,+4.720000E+00,+1.192093E-07
+2.792000E-07,+4.720000E+00,+1.192093E-07
+2.812000E-07,+4.720000E+00,+1.192093E-07
+2.832000E-07,+4.720000E+00,+1.192093E-07
+2.852000E-07,+4.720000E+00,+1.192093E-07
+2.872000E-07,+4.720000E+00,+1.192093E-07
+2.892000E-07,+4.720000E+00,+1.192093E-07
+2.912000E-07,+4.720000E+00,+1.192093E-07
+2.932000E-07,+4.720000E+00,+1.192093E-07
+2.952000E-07,+4.640000E+00,+1.192093E-07
+2.972000E-07,+4.720000E+00,+1.192093E-07
+2.992000E-07,+4.720000E+00,+1.192093E-07
+3.012000E-07,+4.720000E+00,+1.192093E-07
+3.032000E-07,+4.720000E+00,+1.192093E-07
+3.052000E-07,+4.720000E+00,+1.192093E-07
+3.072000E-07,+4.720000E+00,+1.192093E-07
+3.092000E-07,+4.720000E+00,+1.192093E-07
